,Precipitacion
2006-02-15 00:00:00,8.440045927096294e-16
2006-03-16 12:00:00,9.20385355129838e-06
2006-04-16 00:00:00,3.8184793083928525e-05
2006-05-16 12:00:00,4.874003934673965e-05
2006-06-16 00:00:00,5.526069435290992e-05
2006-07-16 12:00:00,7.086616824381053e-05
2006-08-16 12:00:00,7.437322346959263e-05
2006-09-16 00:00:00,8.840521331876516e-05
2006-10-16 12:00:00,6.661334191448987e-05
2006-11-16 00:00:00,2.6026260457001626e-05
2006-12-16 12:00:00,3.616150934249163e-08
2007-01-16 12:00:00,3.20143273002671e-10
2007-02-15 00:00:00,1.266889739781618e-07
2007-03-16 12:00:00,3.129534889012575e-06
2007-04-16 00:00:00,5.93054573982954e-06
2007-05-16 12:00:00,2.662136103026569e-05
2007-06-16 00:00:00,5.1869974413421005e-05
2007-07-16 12:00:00,7.870187982916832e-05
2007-08-16 12:00:00,8.455384522676468e-05
2007-09-16 00:00:00,0.0001370723475702107
2007-10-16 12:00:00,6.072568066883832e-05
2007-11-16 00:00:00,2.178722934331745e-05
2007-12-16 12:00:00,1.862645371275562e-09
2008-01-16 12:00:00,3.2014249584655374e-10
2008-02-15 12:00:00,8.585632205182492e-10
2008-03-16 12:00:00,6.234913598746061e-06
2008-04-16 00:00:00,9.02413739822805e-06
2008-05-16 12:00:00,3.677859785966575e-05
2008-06-16 00:00:00,6.4825129811652e-05
2008-07-16 12:00:00,7.150320743676275e-05
2008-08-16 12:00:00,8.859141962602735e-05
2008-09-16 00:00:00,9.843017323873937e-05
2008-10-16 12:00:00,4.935709876008332e-05
2008-11-16 00:00:00,5.009380402043462e-06
2008-12-16 12:00:00,1.819487775272413e-18
2009-01-16 12:00:00,6.721529643982649e-08
2009-02-15 00:00:00,4.525645636022091e-09
2009-03-16 12:00:00,2.2530730348080397e-06
2009-04-16 00:00:00,1.4671677490696311e-05
2009-05-16 12:00:00,3.584045043680817e-05
2009-06-16 00:00:00,8.065649308264256e-05
2009-07-16 12:00:00,6.391588249243796e-05
2009-08-16 12:00:00,8.88451177161187e-05
2009-09-16 00:00:00,7.754129183012992e-05
2009-10-16 12:00:00,8.823462121654302e-05
2009-11-16 00:00:00,9.62772173807025e-06
2009-12-16 12:00:00,1.910287994954206e-16
